==========================================
SLURM_CLUSTER_NAME = param-shivay
SLURM_JOB_ACCOUNT = electronics_engg
SLURM_JOB_ID = 911407
SLURM_JOB_NAME = paper14
SLURM_JOB_NODELIST = gpu001
SLURM_JOB_USER = jasnoors.ece21.itbhu
SLURM_JOB_UID = 5861
SLURM_JOB_PARTITION = gpu
SLURM_TASK_PID = 22649
SLURM_SUBMIT_DIR = /home/jasnoors.ece21.itbhu/ubiq14
SLURM_CPUS_ON_NODE = 40
SLURM_NTASKS = 40
SLURM_TASK_PID = 22649
==========================================
PyTorch version: 2.1.0
Using device: cuda
done loading models
Student logits shape: torch.Size([1, 10575])
Student hidden representation shape: torch.Size([1, 1280])
Student hidden correct size representation shape: torch.Size([1, 512])
Teacher hidden representation shape: torch.Size([1, 512])
Epoch 127/300, Loss: 6.979377736881119
Epoch 128/300, Loss: 6.979377727180206
Epoch 129/300, Loss: 6.979377737627343
Epoch 130/300, Loss: 6.979377735886153
Epoch 131/300, Loss: 6.979377728672654
Epoch 132/300, Loss: 6.979377730413844
Epoch 133/300, Loss: 6.9793777445921
Epoch 134/300, Loss: 6.9793777314088095
Epoch 135/300, Loss: 6.979377738124826
Epoch 136/300, Loss: 6.979377728175172
Epoch 137/300, Loss: 6.979377727677689
Epoch 138/300, Loss: 6.97937773712986
Epoch 139/300, Loss: 6.979377743845877
Epoch 140/300, Loss: 6.97937772966762
Epoch 141/300, Loss: 6.979377743099652
Epoch 142/300, Loss: 6.979377726931465
Epoch 143/300, Loss: 6.979377730662585
Epoch 144/300, Loss: 6.979377738373567
Epoch 145/300, Loss: 6.97937773513993
Epoch 146/300, Loss: 6.979377730662585
Epoch 147/300, Loss: 6.979377729170137
Epoch 148/300, Loss: 6.979377734891188
Epoch 149/300, Loss: 6.979377736134895
Epoch 150/300, Loss: 6.979377723449086
Epoch 151/300, Loss: 6.979377726433983
Epoch 152/300, Loss: 6.979377737627343
Epoch 153/300, Loss: 6.979377727677689
Epoch 154/300, Loss: 6.979377747825738
Epoch 155/300, Loss: 6.979377723449086
Epoch 156/300, Loss: 6.9793777314088095
Epoch 157/300, Loss: 6.979377742850911
Epoch 158/300, Loss: 6.979377727180206
Epoch 159/300, Loss: 6.979377729170137
Epoch 160/300, Loss: 6.979377714494397
Epoch 161/300, Loss: 6.979377724692793
Epoch 162/300, Loss: 6.979377723449086
Epoch 163/300, Loss: 6.979377727180206
Epoch 164/300, Loss: 6.979377728423913
Epoch 165/300, Loss: 6.9793777416072045
Epoch 166/300, Loss: 6.979377728672654
Epoch 167/300, Loss: 6.979377720961673
Epoch 168/300, Loss: 6.979377730413844
Epoch 169/300, Loss: 6.9793777319062915
Epoch 170/300, Loss: 6.97937772419531
Epoch 171/300, Loss: 6.979377729418879
Epoch 172/300, Loss: 6.9793777259365
Epoch 173/300, Loss: 6.979377720961673
Epoch 174/300, Loss: 6.9793777299163615
Epoch 175/300, Loss: 6.979377727926431
Epoch 176/300, Loss: 6.9793777192204836
Epoch 177/300, Loss: 6.979377730662585
Epoch 178/300, Loss: 6.979377721210414
Epoch 179/300, Loss: 6.979377726185241
Epoch 180/300, Loss: 6.979377729418879
Epoch 181/300, Loss: 6.979377727926431
Epoch 182/300, Loss: 6.979377728175172
Epoch 183/300, Loss: 6.979377731657551
Epoch 184/300, Loss: 6.979377733149999
Epoch 185/300, Loss: 6.979377722205379
Epoch 186/300, Loss: 6.979377731657551
Epoch 187/300, Loss: 6.979377729170137
Epoch 188/300, Loss: 6.979377722454121
Epoch 189/300, Loss: 6.979377726185241
Epoch 190/300, Loss: 6.9793777309113265
Epoch 191/300, Loss: 6.979377723946569
Epoch 192/300, Loss: 6.979377732901257
Epoch 193/300, Loss: 6.979377730662585
Epoch 194/300, Loss: 6.979377721956638
Epoch 195/300, Loss: 6.979377733647481
Epoch 196/300, Loss: 6.979377739368532
Epoch 197/300, Loss: 6.979377718971742
Epoch 198/300, Loss: 6.979377724941534
Epoch 199/300, Loss: 6.979377730662585
Epoch 200/300, Loss: 6.979377722454121
Epoch 201/300, Loss: 6.979377724444052
Epoch 202/300, Loss: 6.979377722454121
Epoch 203/300, Loss: 6.979377736881119
Epoch 204/300, Loss: 6.979377727926431
Epoch 205/300, Loss: 6.979377744840842
Epoch 206/300, Loss: 6.979377724941534
Epoch 207/300, Loss: 6.979377726433983
Epoch 208/300, Loss: 6.979377735886153
Epoch 209/300, Loss: 6.979377721459155
Epoch 210/300, Loss: 6.979377715489363
Epoch 211/300, Loss: 6.979377727677689
Epoch 212/300, Loss: 6.979377735886153
Epoch 213/300, Loss: 6.9793777299163615
Epoch 214/300, Loss: 6.979377728672654
Epoch 215/300, Loss: 6.979377715986846
Epoch 216/300, Loss: 6.979377722454121
Epoch 217/300, Loss: 6.979377742850911
Epoch 218/300, Loss: 6.979377728175172
Epoch 219/300, Loss: 6.979377727926431
Epoch 220/300, Loss: 6.979377748571962
Epoch 221/300, Loss: 6.9793777090220885
Epoch 222/300, Loss: 6.979377721459155
Epoch 223/300, Loss: 6.9793777217078965
Epoch 224/300, Loss: 6.979377730413844
Epoch 225/300, Loss: 6.97937772419531
Epoch 226/300, Loss: 6.979377725687758
Epoch 227/300, Loss: 6.979377724692793
Epoch 228/300, Loss: 6.979377722454121
Epoch 229/300, Loss: 6.979377727428948
Epoch 230/300, Loss: 6.979377726433983
Epoch 231/300, Loss: 6.979377723697827
Epoch 232/300, Loss: 6.979377726185241
Epoch 233/300, Loss: 6.979377733149999
Epoch 234/300, Loss: 6.979377718474259
Epoch 235/300, Loss: 6.979377727180206
Epoch 236/300, Loss: 6.979377734144964
Epoch 237/300, Loss: 6.979377725687758
Epoch 238/300, Loss: 6.979377736383636
Epoch 239/300, Loss: 6.979377728175172
Epoch 240/300, Loss: 6.979377726433983
Epoch 241/300, Loss: 6.979377724941534
Epoch 242/300, Loss: 6.979377741358463
Epoch 243/300, Loss: 6.979377735886153
Epoch 244/300, Loss: 6.9793777445921
Epoch 245/300, Loss: 6.97937773538867
Epoch 246/300, Loss: 6.979377729170137
Epoch 247/300, Loss: 6.979377727428948
Epoch 248/300, Loss: 6.979377736383636
Epoch 249/300, Loss: 6.979377727926431
Epoch 250/300, Loss: 6.979377734144964
Epoch 251/300, Loss: 6.979377736383636
Epoch 252/300, Loss: 6.979377748323221
Epoch 253/300, Loss: 6.97937773513993
Epoch 254/300, Loss: 6.979377738124826
Epoch 255/300, Loss: 6.979377727428948
Epoch 256/300, Loss: 6.979377734393705
Epoch 257/300, Loss: 6.97937773712986
Epoch 258/300, Loss: 6.979377730413844
Epoch 259/300, Loss: 6.979377737876084
Epoch 260/300, Loss: 6.979377743597135
Epoch 261/300, Loss: 6.97937773339874
Epoch 262/300, Loss: 6.979377709768312
Epoch 263/300, Loss: 6.9793777314088095
Epoch 264/300, Loss: 6.9793777259365
Epoch 265/300, Loss: 6.979377723200344
Epoch 266/300, Loss: 6.979377723200344
Epoch 267/300, Loss: 6.979377724444052
Epoch 268/300, Loss: 6.97937773339874
Epoch 269/300, Loss: 6.979377722454121
Epoch 270/300, Loss: 6.979377727677689
Epoch 271/300, Loss: 6.979377729170137
Epoch 272/300, Loss: 6.979377729170137
